ID,Word List,Category,English,Entity_A,Entity_B,Word_A,Word_B,Raw_Distance,Normalized_Distance,Similarity_Pct,Is_Dhivehi_Pair
SW100-001,Swadesh 100,Quantitatives,all,Male',Addu,Hurihaa,Hushihei,4,0.5,50.0,Yes
SW100-001,Swadesh 100,Quantitatives,all,Male',Sinhala,Hurihaa,Hama,5,0.7143,28.57,No
SW100-001,Swadesh 100,Quantitatives,all,Male',Malayalam,Hurihaa,Sarvva,5,0.7143,28.57,No
SW100-001,Swadesh 100,Quantitatives,all,Male',Arabic,Hurihaa,Kulla,5,0.7143,28.57,No
SW100-001,Swadesh 100,Quantitatives,all,Addu,Sinhala,Hushihei,Hama,7,0.875,12.5,No
SW100-001,Swadesh 100,Quantitatives,all,Addu,Malayalam,Hushihei,Sarvva,7,0.875,12.5,No
SW100-001,Swadesh 100,Quantitatives,all,Addu,Arabic,Hushihei,Kulla,7,0.875,12.5,No
SW100-001,Swadesh 100,Quantitatives,all,Sinhala,Malayalam,Hama,Sarvva,4,0.6667,33.33,No
SW100-001,Swadesh 100,Quantitatives,all,Sinhala,Arabic,Òkkòma,Kulla,4,0.6667,33.33,No
SW100-001,Swadesh 100,Quantitatives,all,Malayalam,Arabic,Mul̤uvan,Kulla,5,0.625,37.5,No
SW100-002,Swadesh 100,Natural Objects & Phenomena,ashes,Male',Addu,Alhi,Alhi,0,0.0,100.0,Yes
SW100-002,Swadesh 100,Natural Objects & Phenomena,ashes,Male',Sinhala,Alhi,Aḻu,3,0.75,25.0,No
SW100-002,Swadesh 100,Natural Objects & Phenomena,ashes,Male',Malayalam,Alhi,Cāraṃ,5,1.0,0.0,No
SW100-002,Swadesh 100,Natural Objects & Phenomena,ashes,Male',Arabic,Alhi,Ramāda,5,0.8333,16.67,No
SW100-002,Swadesh 100,Natural Objects & Phenomena,ashes,Addu,Sinhala,Alhi,Aḻu,3,0.75,25.0,No
SW100-002,Swadesh 100,Natural Objects & Phenomena,ashes,Addu,Malayalam,Alhi,Cāraṃ,5,1.0,0.0,No
SW100-002,Swadesh 100,Natural Objects & Phenomena,ashes,Addu,Arabic,Alhi,Ramāda,5,0.8333,16.67,No
SW100-002,Swadesh 100,Natural Objects & Phenomena,ashes,Sinhala,Malayalam,Aḻu,Cāraṃ,5,1.0,0.0,No
SW100-002,Swadesh 100,Natural Objects & Phenomena,ashes,Sinhala,Arabic,Aḻu,Ramāda,5,0.8333,16.67,No
SW100-002,Swadesh 100,Natural Objects & Phenomena,ashes,Malayalam,Arabic,Cāraṃ,Ramāda,5,0.8333,16.67,No
SW100-003,Swadesh 100,Plants & Plant Parts,bark,Male',Addu,Thoshi,Thoshi,0,0.0,100.0,Yes
SW100-003,Swadesh 100,Plants & Plant Parts,bark,Male',Sinhala,Thoshi,Pòtu,6,1.0,0.0,No
SW100-003,Swadesh 100,Plants & Plant Parts,bark,Male',Malayalam,Thoshi,Tol,4,0.6667,33.33,No
SW100-003,Swadesh 100,Plants & Plant Parts,bark,Male',Arabic,Thoshi,Qilfa,6,1.0,0.0,No
SW100-003,Swadesh 100,Plants & Plant Parts,bark,Addu,Sinhala,Thoshi,Pòtu,6,1.0,0.0,No
SW100-003,Swadesh 100,Plants & Plant Parts,bark,Addu,Malayalam,Thoshi,Tol,4,0.6667,33.33,No
SW100-003,Swadesh 100,Plants & Plant Parts,bark,Addu,Arabic,Thoshi,Qilfa,6,1.0,0.0,No
SW100-003,Swadesh 100,Plants & Plant Parts,bark,Sinhala,Malayalam,Pòtu,Marattol,7,0.875,12.5,No
SW100-003,Swadesh 100,Plants & Plant Parts,bark,Sinhala,Arabic,Pòtu,Qilfa,5,1.0,0.0,No
SW100-003,Swadesh 100,Plants & Plant Parts,bark,Malayalam,Arabic,Tol,Qilfa,4,0.8,20.0,No
SW100-004,Swadesh 100,Body Parts & Substances,belly,Male',Addu,Bandu,Banda,1,0.2,80.0,Yes
SW100-004,Swadesh 100,Body Parts & Substances,belly,Male',Huvadhu,Bandu,Badaa,3,0.6,40.0,Yes
SW100-004,Swadesh 100,Body Parts & Substances,belly,Male',Sinhala,Bandu,Baḍa,3,0.6,40.0,No
SW100-004,Swadesh 100,Body Parts & Substances,belly,Male',Malayalam,Bandu,Vayaṟ,4,0.8,20.0,No
SW100-004,Swadesh 100,Body Parts & Substances,belly,Male',Arabic,Bandu,Baẗana,5,0.7143,28.57,No
